beta,parameter,realization,seed,N,pairs,local,regional,sum_W_real,sum_W_imag,area,null,corr,corr_centered,corr_centered_rms
0.0,8,7,6007,256,705,0.0854178426232402,0.09100833941912669,0.08463091775973375,0.03346827756207587,887.1254880752821,1.5432863556463183,-0.4239694477549601,-0.42398420338308024,-0.33704688221192963
0.0,10,7,6007,400,1121,0.08667024360828247,0.15555225064144243,0.06534315437075211,-0.14116222885920365,1384.6989780319795,1.9734972145876908,-0.4227676408404546,-0.42273550133812365,-0.33907601079475314
0.0,12,7,6007,576,1633,0.08704891580888346,0.14433230325301563,-0.1274630101399965,0.06771258973316276,1995.2291529292045,2.37755914993509,-0.4199108071554594,-0.41990018259170825,-0.3378874000995624
0.1,4,7,6007,64,161,0.35295614913035905,22.235976970862822,22.235967590829766,0.020424208920125225,222.10406435104466,2.911104275246363,0.9581871648474756,-0.4180050345501863,-0.3294090341734164
0.1,6,7,6007,144,385,0.35222340500781013,50.00627232669596,50.006193541738796,0.0887664229270993,498.4972971519271,4.333456419478231,0.9616933086700876,-0.39510532918743146,-0.3106730826186597
0.1,8,7,6007,256,705,0.3524391843322724,88.9251987266176,88.9251226021122,-0.11635621059929524,887.1254880752821,5.777585501868545,0.9607000514810056,-0.4063396909042502,-0.32193359146110884
0.1,10,7,6007,400,1121,0.35212761437562584,138.52438308792475,138.5243411266782,0.10782073003611371,1384.6989780319795,7.209630942488934,0.9560482260464397,-0.4043221440104032,-0.32334588690797866
0.1,12,7,6007,576,1633,0.3522949121326373,199.4131029927326,199.41279181701907,0.3522852997084335,1995.2291529292045,8.64958862538722,0.9537280558664976,-0.40185458151812586,-0.3234119969863419
0.4,4,7,6007,64,161,1.3902825452171879,88.89258615176708,88.89184472500315,-0.3630621644564718,222.10406435104466,11.164840950371968,0.9978846875485033,-0.2928284399508732,-0.21502203588657376
0.4,6,7,6007,144,385,1.389340569011787,199.88589777665695,199.88585602157093,0.1291994735544404,498.4972971519271,16.724372427129317,0.9981091242120258,-0.25936669756748587,-0.1920033416943546
0.4,8,7,6007,256,705,1.3895494934830226,355.4470480224265,355.4465976551695,-0.5658296750833935,887.1254880752821,22.302959569293446,0.9982600678193321,-0.2559565230136113,-0.19300896361024342
0.4,10,7,6007,400,1121,1.3859242790210033,553.9019945750002,553.9013350436005,0.8547696067220966,1384.6989780319795,27.804584296259375,0.9981853757670132,-0.25348742354411885,-0.19205610124639452
0.4,12,7,6007,576,1633,1.3867078903722747,798.0344675655917,798.0335562984963,1.2060034296342264,1995.2291529292045,33.38173157472364,0.9980778846666969,-0.2514285433701022,-0.19117029167931082
0.0,4,8,6008,64,161,0.0998362744451186,0.02053666537999344,-0.01650644211426977,0.012218510288004934,222.43472693034178,0.903928055208016,-0.4720145781848731,-0.4719483200347551,-0.37254179387295017
0.0,6,8,6008,144,385,0.09369633029939756,0.0692178319795763,-0.010852282301761385,0.06836180390244052,498.2621588536488,1.2732370079104542,-0.4535811879933816,-0.4537015598141732,-0.358776450070723
0.0,8,8,6008,256,705,0.09483233566993182,0.04596214388782087,0.010925337957373493,-0.04464477193672203,885.9311789821413,1.6886681526260474,-0.43413666544153434,-0.43412894028398963,-0.35376333344820354
0.0,10,8,6008,400,1121,0.09157356764208707,0.00558481336311751,-0.002564934016398457,-0.004960973069104285,1385.8628262340412,2.0568098803593395,-0.43064417450646614,-0.4306414807263365,-0.3486464058091419
0.0,12,8,6008,576,1633,0.08885170629654945,0.09296096083208685,-0.09090910197477475,0.019423578891769433,1994.3023301724968,2.409238173187578,-0.4182672866037485,-0.41825279320171704,-0.33560795026160745
0.1,4,8,6008,64,161,0.3543128427789779,22.175362992348823,22.17533242327457,-0.03682064232771852,222.43472693034178,2.916583572381819,0.9401745889638369,-0.4703093668384494,-0.3653778188431156
0.1,6,8,6008,144,385,0.35243017965112133,49.659883414712056,49.65973722938242,0.12049510978829295,498.2621588536488,4.331972402551928,0.9403915798807159,-0.4432646214494032,-0.34686998802857394
0.1,8,8,6008,256,705,0.35417749497881,88.75424300175956,88.75414470564573,0.1320923339384198,885.9311789821413,5.803034291424696,0.9437064470815927,-0.4183917722772964,-0.33850765898819307
0.1,10,8,6008,400,1121,0.3530446706075358,138.50016101585805,138.50007554690336,0.15386656773089674,1385.8628262340412,7.231189579758149,0.9476143570517032,-0.4172837090048145,-0.3352350622924328
0.1,12,8,6008,576,1633,0.35242305977462973,199.16952357713038,199.16945413338152,0.1663194273797045,1994.3023301724968,8.650003136346106,0.9497659802608165,-0.40128939685662196,-0.31925405566266857
0.4,4,8,6008,64,161,1.3880042410384332,88.75103962712957,88.75084901944109,-0.1839381001748854,222.43472693034178,11.143177839919407,0.9979684972649159,-0.372708976835834,-0.2678780642600813
0.4,6,8,6008,144,385,1.3811993588504665,198.67169872320554,198.67150576443498,0.2768950274458493,498.2621588536488,16.625113736369247,0.997580460360368,-0.3176683305003165,-0.2291923131419755
0.4,8,8,6008,256,705,1.3882361695324188,354.984420647809,354.98380280871083,0.662303651563863,885.9311789821413,22.28034023915868,0.9976000757750108,-0.2732245237196351,-0.20549384821101066
0.4,10,8,6008,400,1121,1.3864581311944528,554.00835559457,554.0079969896626,0.6303491901309402,1385.8628262340412,27.815528517417746,0.9977368600067966,-0.27644044916135796,-0.2087939204260331
0.4,12,8,6008,576,1633,1.3850372389862073,796.9507750064998,796.9505438394503,0.6070069728435676,1994.3023301724968,33.34201852589484,0.9977786332154276,-0.2390737645981058,-0.17948070852380718
0.0,4,9,6009,64,161,0.08736384978459585,0.07088055677094916,0.032252693207110994,0.06311748655521482,222.0864206151028,0.7870170435945469,-0.464235125395479,-0.46326214183734177,-0.3716843063505255
0.0,6,9,6009,144,385,0.08693816486048005,0.09441938997652823,0.02880940474299054,0.08991684715276817,499.07075049056357,1.178054809906447,-0.44450133979937234,-0.4441185015777555,-0.35584288377725587
0.0,8,9,6009,256,705,0.08779309075262717,0.24240483249593503,-0.22123979569234864,-0.09906086825477632,886.4786221843005,1.5838578024423737,-0.4476825653788426,-0.44787667089445465,-0.3596094507500119
0.0,10,9,6009,400,1121,0.08594014730729174,0.032725166487910066,0.0238512125163739,0.022406610255908885,1385.986276264735,1.9437697023416094,-0.4218442830898196,-0.42184459585241985,-0.340150510707305
0.0,12,9,6009,576,1633,0.08655193829349526,0.053386074253318136,0.027973811149521577,0.045470196986066594,1994.3035833416097,2.3557436243383907,-0.42026821741074827,-0.42028746476568235,-0.335883266597023
0.1,4,9,6009,64,161,0.3531435680019941,22.183052029169943,22.18300010502843,-0.04799655372339262,222.0864206151028,2.8783458321247593,0.9457066883977883,-0.451910313611318,-0.35184175614015123
