realization,shape,parameter,cells,area,perimeter,boundary_edges,W_real,W_imag,boundary_W_real,boundary_W_imag,identity_error,normalized_gap,deterministic_bound
9,rhombus,4,16,55.065600981345106,34.417467502381,30,0.05197115509933781,-0.11144811382397413,0.05197115509933493,-0.1114481138239796,6.179781404021665e-15,0.001116579592889535,0.009844415848381732
9,rhombus,7,49,169.53211359311672,62.362430405753486,54,0.06572130915155094,-0.10259815545629285,0.0657213091515411,-0.1025981554563019,1.3367306809725403e-14,0.0003593502555663136,0.004915472088463175
9,rhombus,10,100,346.39021961702224,89.76968188902552,78,-0.017109958059712493,-0.09071105801753132,-0.01710995805972758,-0.09071105801755898,3.1504773016374926e-14,0.000133246543783156,0.002897255146909247
9,rhombus,15,225,779.0402924413479,136.15467321315015,118,0.0814924236697161,0.003511855371022665,0.08149242366972845,0.0035118553710295885,1.4159263262485054e-14,5.2351630434798604e-05,0.002175134530248149
9,rhombus,20,400,1385.462437942478,182.87277677694894,158,0.04919762678222428,0.19714474558191042,0.049197626782209035,0.19714474558193554,2.938292546367954e-14,7.332955630212481e-05,0.001806452571201084
9,radial,2.8284271247461903,7,24.085068866540563,20.669092919225413,18,-0.2663239498226182,-0.011329942430314877,-0.2663239498226181,-0.01132994243031473,1.8319205572553517e-16,0.0055338193410970895,0.013857851019044388
9,radial,4.69041575982343,19,65.6432007845187,34.84837078754258,30,0.1140291183734381,0.16587089294412305,0.11402911837343149,0.16587089294411983,7.348678496207199e-15,0.0015331774629908804,0.007226782248541139
9,radial,7.615773105863909,55,190.391881594799,62.67610230717303,54,-0.1964414512454682,0.17457508911497555,-0.19644145124547924,0.17457508911496722,1.3833418983108506e-14,0.0006901647986901565,0.0042644742999998755
9,radial,10.488088481701515,97,335.96256667885143,90.7009060381041,78,0.11198350901240328,-0.2976643847614157,0.11198350901239756,-0.2976643847614148,5.786222096776766e-15,0.00047331472789913893,0.003418186604468408
9,radial,15.748015748023622,223,772.1754074855824,131.55781119184195,114,-0.29682861530435556,0.4857347167687822,-0.29682861530434146,0.48573471676877855,1.4568055306311147e-14,0.0003686014139961448,0.0022389610307235026
9,radial,20.97617696340303,397,1374.9960578501577,173.205844662357,150,-0.021406760103416023,0.27981628988791274,-0.021406760103403415,0.2798162898879072,1.3775913482028063e-14,0.00010204899620696348,0.0016814737432903394
10,rhombus,2,4,13.929334603518566,16.222515862262814,14,-0.011541859813406496,0.004910109736138479,-0.011541859813405707,0.004910109736138672,8.124471421090677e-16,0.0004502323711208871,0.008088496616028748
10,rhombus,4,16,55.75270644593048,34.89841134567338,30,-0.08575710997159947,-0.04596533930164273,-0.08575710997159997,-0.04596533930163877,3.993482646230174e-15,0.000872594360772266,0.0063385460054121495
10,rhombus,7,49,169.5669402614939,62.632065243240206,54,0.07287360109027752,-0.06600052937237935,0.07287360109027122,-0.06600052937237535,7.461295529092615e-15,0.00028991214210201215,0.003733832620482681
10,rhombus,10,100,346.0613450720631,90.16847730109328,78,0.09258651402999574,0.06295324945106688,0.09258651402999811,0.06295324945105911,8.125809178559784e-15,0.00016176537328070322,0.003289658394757653
10,rhombus,15,225,778.694317346237,136.4325259721259,118,-0.11086891998754522,0.0675815531491614,-0.11086891998751393,0.06758155314913866,3.8679137396232365e-14,8.337220178147146e-05,0.002251221126922143
10,rhombus,20,400,1385.5895304598575,182.59733914566507,158,-0.16376584154239948,0.012131107612102995,-0.1637658415424062,0.012131107612068988,3.466449789926719e-14,5.925800347378347e-05,0.0016726393804868817
10,radial,2.8284271247461903,7,24.480671949415157,20.878674302371586,18,-0.02045388315332719,0.03130394727611151,-0.02045388315332814,0.03130394727611359,2.2884573085435484e-15,0.0007637418843840672,0.004413469045275715
10,radial,4.69041575982343,19,66.22516814183984,34.51099198060175,30,-0.07000261817620146,-0.09231586749894147,-0.07000261817619985,-0.0923158674989406,1.8319205572553516e-15,0.0008747118929453347,0.004898085704170601
10,radial,7.615773105863909,55,190.11603498330106,62.33226826219456,54,-0.28418491383959843,-0.11017580262583267,-0.284184913839606,-0.11017580262582455,1.1086267989003796e-14,0.0008016016121373625,0.003756477065045552
10,radial,10.488088481701515,97,335.3880415688982,89.83972653997216,78,0.1420475552305982,-0.11578095107527285,0.14204755523059664,-0.11578095107526466,8.334117102990516e-15,0.0002731998598536168,0.003370080585403661
10,radial,15.748015748023622,223,772.2548861716477,132.36489820469282,114,0.10369300145773064,0.1254710449136736,0.10369300145773666,0.1254710449136231,5.0872941581707385e-14,0.00010538847449769313,0.002253674921251494
10,radial,20.97617696340303,397,1374.7704101720392,173.4745311063768,150,0.05403284298934441,-0.09983357848152585,0.05403284298937863,-0.09983357848156314,5.061327388298219e-14,4.128609467808159e-05,0.0014271234697773012
11,rhombus,2,4,13.712918393474029,16.03427974772817,14,0.0914724179700559,0.01983880924594683,0.09147241797005669,0.0198388092459473,9.19298698279983e-16,0.0034128055139856224,0.01811108433198627
11,rhombus,4,16,55.52460856027925,34.84480684949346,30,-0.052305868014887125,-0.01594158831155032,-0.05230586801488526,-0.015941588311549078,2.242046710340332e-15,0.000492405457283177,0.007993613089613225
11,rhombus,7,49,169.57425985455424,62.315722075954724,54,0.05462761718479259,-0.05385338782857807,0.0546276171847878,-0.0538533878285672,1.1880693413829254e-14,0.00022618293583582153,0.00544678182736617
11,rhombus,10,100,346.5702358724147,90.05957587823463,78,-0.07734802848917255,0.0065397948045768095,-0.07734802848918818,0.0065397948045847615,1.7533336838379135e-14,0.00011198885353788098,0.0034522067563172473
11,rhombus,15,225,780.2450836954515,136.28363293646487,118,0.15847523353640502,0.0020089371336246553,0.15847523353639092,0.0020089371336184554,1.540272882303493e-14,0.0001015629381372024,0.0022774952962868905
