realization,shape,target_n,n,parameter,sum_W_real,sum_W_imag,total_area,delta_total,area_normalized_delta,orientation_null_squared,area_normalized_null_squared
12,disk,49,55,7.615773105863909,-0.19773413973760734,0.18962470509799803,190.58960805785753,0.27396408304972086,0.0014374555141881253,0.4569818933209941,1.2580576958743314e-05
12,rhombus,100,100,10.0,-0.010461313769722924,0.12476096784279117,346.32522968449865,0.12519879465417616,0.00036150642206527064,0.8135020623303998,6.782509276581495e-06
12,disk,100,97,10.488088481701515,-0.008227407897945405,0.2892021888214811,335.7441509317559,0.2893191944200294,0.0008617251964542402,0.850007529537767,7.540599272780386e-06
12,rhombus,225,225,15.0,0.16368796805802743,0.06786505130755685,779.4049832547812,0.17719880382198727,0.00022735138680023348,1.874486791973632,3.0857165387728333e-06
12,disk,225,223,15.748015748023622,-0.05040780216743723,-0.39217128148896674,772.9776900259161,0.3953975980504306,0.0005115252395410971,1.9682139880001328,3.2941122595070145e-06
12,rhombus,400,400,20.0,-0.14401359849707873,-0.061530933826076835,1384.0612373012343,0.1566077021400507,0.00011315084760658302,3.774559904906397,1.9704059525002426e-06
12,disk,400,397,20.97617696340303,-0.09893632513508877,-0.26865716191041134,1374.7901969208665,0.2862954192385777,0.00020824662547041495,3.9458902911246088,2.0877195248590503e-06
13,rhombus,4,4,2.0,0.05209213315664085,0.09602921493296093,13.892618563761072,0.10924834304212586,0.007863768989317853,0.0647337803952882,0.00033539975916709806
13,disk,4,7,2.8284271247461903,-0.1949674309171554,-0.03337888347710616,24.557379729577196,0.19780406714881774,0.008054770880566716,0.06804780623734832,0.00011283662227659983
13,rhombus,16,16,4.0,-0.00355200023555291,0.0728872121667184,55.3675006120526,0.07297371035591921,0.001317988161814081,0.1434092420349748,4.678076313396589e-05
13,disk,16,19,4.69041575982343,0.06708121464676076,-0.011632365314175164,65.68030554173447,0.06808231254362043,0.001036571191045384,0.17985052987183708,4.169091173679665e-05
13,rhombus,49,49,7.0,-0.1412650532777775,-0.04004499163820724,168.65021155838576,0.1468312522349292,0.0008706259593638105,0.45912548897536093,1.6142010417660602e-05
13,disk,49,55,7.615773105863909,-0.00963500521339089,-0.04769310787235015,189.78437243671559,0.048656611719125054,0.00025637838929730536,0.6026762646919315,1.6732590849503657e-05
13,rhombus,100,100,10.0,-0.032759455751663946,0.018788751618115218,345.22730713215344,0.03776505168158062,0.0001093918438703463,1.0968035456824858,9.202769922906367e-06
13,disk,100,97,10.488088481701515,0.09527151424561264,-0.34314757387190375,335.451620202356,0.3561276721638261,0.0010616364647426583,1.0601944893396285,9.421623708103507e-06
13,rhombus,225,225,15.0,-0.18183392215191185,-0.04005348982450324,778.93339326293,0.18619306456543736,0.00023903592550510622,2.437052012056019,4.016651504106027e-06
13,disk,225,223,15.748015748023622,0.2600666789860595,0.3397383061943281,772.189497056879,0.42785136930320694,0.0005540756134781923,2.4961355052235654,4.186203892887818e-06
