n,eccentricity,gap,trace,normalized_gap
4,0.34051127819548876,0.23145630436058462,3.7609617268388664,0.06154178669484266
4,0.343015037593985,0.23485847365404888,3.7573196488654452,0.0625069186554214
4,0.3455187969924812,0.23828489901330574,3.753647316250941,0.0634808970948553
4,0.34802255639097746,0.24173555327414586,3.7499446401099608,0.06446376586163613
4,0.3505263157894737,0.24521040852828802,3.7462115304698065,0.0654555693221991
4,0.3530300751879699,0.24870943610617258,3.742447896257798,0.06645635236628562
4,0.3555338345864662,0.25223260655939295,3.7386536452883536,0.0674661604123906
4,0.35803759398496243,0.2557798896427441,3.734828684249834,0.0684850394132922
4,0.36054135338345866,0.25935125429588757,3.7309729186911533,0.06951303586166728
4,0.3630451127819549,0.2629466686246196,3.7270862530081326,0.07055019679579329
4,0.3655488721804511,0.2665660998817345,3.723168590429609,0.07159656980533777
4,0.3680526315789474,0.2702095144474723,3.719219833003285,0.07265220303723673
4,0.37055639097744364,0.2738768778095475,3.715239881581316,0.07371714520166525
4,0.37306015037593987,0.27756815454273687,3.7112286358056275,0.07479144557809837
4,0.3755639097744361,0.28128330828802706,3.7071859940929626,0.07587515402146654
4,0.37806766917293233,0.28502230173130694,3.7031118536196477,0.07696832096840626
4,0.38057142857142856,0.2887850965815941,3.6990061103060685,0.07807099744360764
4,0.38307518796992485,0.29257165354878323,3.6948686588008655,0.07918323506625932
4,0.3855789473684211,0.2963819323209078,3.6906993924648166,0.08030508605659441
4,0.3880827067669173,0.30021589154090345,3.686498203354425,0.08143660324253799
4,0.39058646616541354,0.304073488782854,3.6822649822051954,0.08257784006645652
4,0.39309022556390977,0.30795468052772,3.677999618414585,0.0837288505920142
4,0.39559398496240605,0.31185942213852536,3.6737020000246368,0.08488968951113453
4,0.3980977443609023,0.3157876678349958,3.669372013704278,0.08606041215107108
4,0.4006015037593985,0.31973937066763347,3.665009544731274,0.08724107448158841
4,0.40310526315789474,0.3237144824912157,3.6606144769738416,0.08843173312225551
4,0.405609022556391,0.32771295393770106,3.656186692871903,0.08963244534985312
4,0.40811278195488726,0.33173473438852774,3.651726073417978,0.0908432691058964
4,0.4106165413533835,0.3357797719462967,3.6472324981376993,0.09206426300427736
4,0.4131203007518797,0.33984801340581283,3.642705845069956,0.09329548633902561
4,0.41562406015037595,0.3439394042244761,3.638145990746642,0.0945369990921917
4,0.4181278195488722,0.34805388849200636,3.633552810172007,0.0957888619418552
4,0.42063157894736847,0.35219140889948086,3.6289261768016035,0.09705113627025858
4,0.4231353383458647,0.35635190670767014,3.624265962520809,0.09832388417206954
4,0.42563909774436093,0.3605353217146545,3.619572037622937,0.09960716846277413
4,0.42814285714285716,0.3647415922227035,3.6148442707868913,0.10090105268720341
4,0.4306466165413534,0.36897065500439763,3.6100825290543916,0.10220560112819474
4,0.4331503759398496,0.3732224452679729,3.6052866778067276,0.10352087881539072
4,0.4356541353383459,0.377496896621875,3.6004565807410547,0.1048469515341795
4,0.43815789473684214,0.3817939410384896,3.5955920998462068,0.10618388583477531
4,0.44066165413533837,0.38611350881704376,3.5906930953780103,0.10753174904144673
4,0.4431654135338346,0.3904555285456437,3.5857594258341106,0.1088906092618907
4,0.4456691729323308,0.3948199270624366,3.580790947928264,0.11026053539675847
4,0.4481729323308271,0.39920662941586205,3.5757875165641213,0.11164159714933203
4,0.45067669172932334,0.4036155588239856,3.5707489848084535,0.11303386503535948
4,0.4531804511278196,0.40804663663287544,3.5656752038638317,0.11443741039304661
4,0.4556842105263158,0.4124997822740013,3.560566023040737,0.11585230539320962
4,0.45818796992481203,0.4169749132206422,3.5554212897290904,0.1172786230495948
4,0.46069172932330826,0.42147194494325335,3.5502408493691795,0.11871643722936209
4,0.46319548872180455,0.42599079086378655,3.5450245454219775,0.12016582266374104
4,0.4656992481203008,0.4305313623089282,3.5397722193388352,0.12162685495886048
4,0.468203007518797,0.4350935684622177,3.5344837105305285,0.12309961060675248
4,0.47070676691729324,0.4396773163150318,3.529158856335643,0.12458416699653828
4,0.47321052631578947,0.44428251061639523,3.523797491988286,0.12608060242579686
4,0.47571428571428576,0.44890905382158497,3.518399450585102,0.1275889961121192
4,0.478218045112782,0.4535568460395001,3.512964563051576,0.12910942820485297
4,0.4807218045112782,0.4582257849787643,3.5074926581076014,0.1306419797970414
4,0.48322556390977445,0.46291576589252004,3.5019835622323088,0.13218673293755795
4,0.4857293233082707,0.4676266815218837,3.4964370996281104,0.13374377064344203
4,0.48823308270676696,0.47235842203802947,3.4908530921839658,0.13531317691244066
4,0.4907368421052632,0.477110874982849,3.48523135943783,0.13689503673575557
4,0.4932406015037594,0.4818839252081686,3.479571718538267,0.13848943611100598
4,0.49574436090225565,0.48667745481346336,3.473873984205217,0.1400964620554046
4,0.4982481203007519,0.49149134308204356,3.4681379686898675,0.14171620261915663
4,0.5007518796992482,0.4963254664156569,3.462363481733643,0.143348746899081
4,0.5032556390977444,0.5011796982674717,3.456550330526251,0.14499418505246192
