epsilon,psi_rad,delta,leading,ratio,area
0.05,0.6108652381980153,0.0014456259068275211,0.0014433756729740647,1.0015590077452392,0.8653037178261721
0.05,0.6283185307179586,0.0014455572124477067,0.0014433756729740647,1.001511414882826,0.8653037177687912
0.05,0.6457718232379019,0.0014454778332892394,0.0014433756729740647,1.001456419388615,0.8653037177024885
0.05,0.6632251157578453,0.0014453886373643463,0.0014433756729740647,1.001394622639118,0.8653037176279905
0.05,0.6806784082777885,0.0014452906002018473,0.0014433756729740647,1.0013267005005266,0.8653037175461136
0.05,0.6981317007977318,0.001445184794233107,0.0014433756729740647,1.0012533959750858,0.8653037174577547
0.05,0.7155849933176751,0.0014450723771173336,0.0014433756729740647,1.0011755111126217,0.8653037173638817
0.05,0.7330382858376184,0.0014449545791256572,0.0014433756729740647,1.0010938982699764,0.8653037172655236
0.05,0.7504915783575618,0.00144483268972407,0.0014433756729740647,1.0010094508153953,0.8653037171637574
0.05,0.767944870877505,0.001444708043493923,0.0014433756729740647,1.0009230933739606,0.8653037170596987
0.05,0.7853981633974483,0.0014445820055512338,0.0014433756729740647,1.000835771725793,0.865303716954487
0.05,0.8028514559173916,0.001444455956610793,0.0014433756729740647,1.0007484424581594,0.8653037168492754
0.05,0.8203047484373349,0.001444331277868788,0.0014433756729740647,1.000662062491849,0.8653037167452167
0.05,0.8377580409572782,0.0014442093358612215,0.0014433756729740647,1.000577578590776,0.8653037166434505
0.05,0.8552113334772214,0.0014440914674699466,0.0014433756729740647,1.0004959169738583,0.8653037165450921
0.05,0.8726646259971648,0.0014439789652367543,0.0014433756729740647,1.0004179731403167,0.8653037164512194
0.05,0.8901179185171081,0.0014438730631528597,0.0014433756729740647,1.0003446020243434,0.8653037163628603
0.05,0.9075712110370514,0.0014437749230779872,0.0014433756729740647,1.0002766085859685,0.8653037162809835
0.05,0.9250245035569946,0.0014436856219423014,0.0014433756729740647,1.0002147389442957,0.8653037162064856
0.05,0.9424777960769379,0.0014436061398718691,0.0014433756729740647,1.000159672150584,0.8653037161401828
0.05,0.9599310885968813,0.0014435373493764448,0.0014433756729740647,1.0001120126973229,0.8653037160828019
0.05,0.9773843811168246,0.0014434800057166542,0.0014433756729740647,1.0000722838444231,0.8653037160349711
0.05,0.9948376736367679,0.0014434347385570694,0.0014433756729740647,1.0000409218362971,0.8653037159972152
0.05,1.0122909661567112,0.0014434020450101726,0.0014433756729740647,1.0000182710825751,0.8653037159699469
0.05,1.0297442586766545,0.0014433822841365556,0.0014433756729740647,1.0000045803477327,0.8653037159534656
0.05,1.0471975511965976,0.0014433756729742267,0.0014433756729740647,1.0000000000001121,0.8653037159479516
0.05,1.064650843716541,0.0014433822841366417,0.0014433756729740647,1.0000045803477922,0.8653037159534657
0.05,1.0821041362364843,0.0014434020450101127,0.0014433756729740647,1.0000182710825336,0.8653037159699468
0.05,1.0995574287564276,0.0014434347385571262,0.0014433756729740647,1.0000409218363364,0.865303715997215
0.05,1.117010721276371,0.0014434800057161648,0.0014433756729740647,1.000072283844084,0.8653037160349712
0.05,1.1344640137963142,0.0014435373493766493,0.0014433756729740647,1.0001120126974645,0.8653037160828019
0.05,1.1519173063162575,0.0014436061398719092,0.0014433756729740647,1.0001596721506119,0.865303716140183
